,roate,60.13209181463837
bonds ramet,pilch,1.5075790385448247
pilch ramet,bonds,1.5075790385448247
bonds taler,chimp,1.5647466435686443
chimp,roate,8.292334343871806
bonds chimp,taler,1.5647466435686443
chimp taler,dongs,1.5439584235599826
dongs,taler,6.390212213079255
chimp dongs,taler,1.5439584235599826
chimp roate,slung,1.6704200952793418
slung,roate,6.109571242962321
chimp slung,tared,1.5647466435686443
chimp tared,longs,1.552620181896925
longs,irate,5.632308358596795
chimp longs,derat,1.5422260718925942
derat,coils,5.13685578172369
chimp derat,longs,1.5422260718925942
irate sownd,clump,1.6236466002598529
clump roate,binds,1.5725422260718926
binds,roate,6.58336942399307
clump binds,roate,1.5725422260718926
binds roate,clump,1.5725422260718926
dinos targe,clump,1.5638804677349503
sownd carle,pight,1.5006496318752707
pight,carle,7.35339974014725
sownd pight,carle,1.5006496318752707
dongs taler,chimp,1.5439584235599826
tared longs,chimp,1.552620181896925
bidon slate,crump,1.544824599393677
crump,salet,7.31875270679948
bidon crump,salet,1.5370290168904288
slate crump,bidon,1.544824599393677
bidon salet,crump,1.5370290168904288
crump salet,bidon,1.5370290168904288
carle pight,bonds,1.4746643568644435
pight bonds,carle,1.4746643568644435
bonds carle,pight,1.4746643568644435
porch salet,dingy,1.5552187093980079
roate sculp,dingy,1.64963187527068
sownd carle pight,jumby,1.086617583369424
jumby,raise,15.166305760069294
raise,clout,5.111736682546557
clout,raise,5.111736682546557
pight jumby,arles,2.4465136422693807
arles,tonic,5.103074924209615
tonic,reals,5.004330879168471
reals,point,4.926375054135989
point,carle,4.776526634906886
sownd jumby,artel,2.2109138155045476
artel,sonic,4.933304460805544
sonic,taler,4.841489822433954
jumby arles,point,2.126894759636206
jumby point,carle,2.058466868774361
carle jumby,stond,1.8834993503681248
jumby stond,carle,1.8834993503681248
jumby artel,chins,2.107838891294933
chins,artel,6.117366825465569
jumby chins,artel,2.107838891294933
jumby raise,cloth,2.13382416630576
cloth,raise,5.31268947596362
jumby cloth,siren,2.094846253789519
siren,claut,4.902988306626245
claut,siren,4.902988306626245
jumby siren,clapt,1.8748375920311824
clapt,senor,5.074491121697704
senor,cital,4.850151580770897
cital,snore,4.689909051537462
snore,cital,4.689909051537462
jumby clapt,siren,1.8748375920311824
sownd artel,chimb,1.64963187527068
chimb,roate,8.721091381550455
sownd chimb,ratel,1.6019922044174968
chimb ratel,ponds,1.5803378085751407
ponds,taler,5.777825898657428
chimb ponds,taler,1.570809874404504
chimb roate,slung,1.696405370290169
chimb slung,tared,1.599393676916414
chimb tared,sonly,1.588133391078389
sonly,trace,4.928107405803378
trace,noils,4.5608488523170205
chimb sonly,trade,1.563014291901256
chimb trade,sonly,1.563014291901256
chimb taler,ponds,1.570809874404504
artel chimb,sound,1.6305760069294066
sound,carle,5.417496751840623
chimb sound,ratel,1.588133391078389
sownd ratel,chimb,1.6019922044174968
pight arles,ycond,1.6591598094413167
ycond,salet,6.5132091814638375
pight ycond,seral,1.5872672152446947
seral,point,5.016457340840191
arles ycond,pight,1.6591598094413167
ratel ponds,chimb,1.5803378085751407
tared sonly,chimb,1.588133391078389
blocs trape,dingy,1.5985275010827198
derat longs,chimp,1.5422260718925942
pight seral,ycond,1.5872672152446947
ponds taler,chimb,1.570809874404504
slung tared,chimp,1.5647466435686443
ycond salet,grump,1.638371589432655
grump,salet,8.317453443048938
ycond grump,salet,1.638371589432655
grump salet,ycond,1.638371589432655
gipon slate,crumb,1.62104807275877
crumb,salet,7.606323083585968
gipon crumb,salet,1.6037245560848852
slate crumb,poind,1.5300996102208748
poind,slate,5.674750974447813
crumb poind,salet,1.5171069727154611
crumb salet,poind,1.5171069727154611
gipon salet,crumb,1.6037245560848852
culms roate,dingy,1.7449112169770464
culms dingy,trape,1.6868774361195322
slate porch,dingy,1.5638804677349503
blocs irate,nymph,1.7457773928107405
blocs nymph,tared,1.7353832828064097
nymph tared,coils,1.646167171935903
nymph coils,trade,1.6037245560848852
nymph trade,coils,1.6037245560848852
irate nymph,scold,1.6652230402771762
scold,irate,5.1715028150714595
nymph scold,irate,1.6652230402771762
seral ycond,pight,1.5872672152446947
artel chins,podgy,1.6288436552620182
podgy,reast,8.255088783022954
reast,colin,4.765266349068861
colin,stare,4.728886964053703
stare,colin,4.728886964053703
chins podgy,ratel,1.5985275010827198
podgy ratel,chins,1.5985275010827198
podgy reast,linch,1.5803378085751407
linch,roate,5.732784755305327
podgy linch,reast,1.5803378085751407
artel podgy,chins,1.6288436552620182
longs irate,chump,1.7379818103074924
longs chump,derat,1.6738847986141188
chump derat,sling,1.5950627977479428
sling,roate,5.152446946730186
chump sling,tared,1.5647466435686443
chump tared,sling,1.5647466435686443
irate chump,golds,1.7267215244694674
golds,carte,6.022087483759203
chump golds,antre,1.6938068427890862
antre,coils,4.882200086617583
chump antre,solid,1.635773061931572
solid,carte,4.64660025985275
chump solid,targe,1.6132524902555219
chump targe,solid,1.6132524902555219
golds antre,chimp,1.56994369857081
golds chimp,antre,1.56994369857081
antre chimp,golds,1.56994369857081
irate golds,punch,1.635773061931572
punch,raile,7.548289302728453
golds punch,armet,1.6331745344304893
armet,coils,5.394110004330879
punch armet,sloid,1.585534863577306
sloid,carte,4.576440017323517
punch sloid,targe,1.5508878302295366
punch targe,solid,1.5456907752273712
punch solid,targe,1.5456907752273712
irate punch,bolds,1.6236466002598529
bolds,irate,6.439584235599827
punch bolds,irate,1.6236466002598529
bolds irate,punch,1.6236466002598529
golds armet,pinch,1.5456907752273712
pinch,roate,6.86920744911217
golds pinch,ramet,1.5249025552187094
pinch ramet,bolds,1.5075790385448247
pinch bolds,ramet,1.5075790385448247
armet pinch,bolds,1.5387613685578172
bolds ramet,pinch,1.5075790385448247
golds ramet,pinch,1.5249025552187094
armet bolds,pinch,1.5387613685578172
punch raile,dowts,1.6201818969250759
dowts,raile,6.1268947596362064
punch dowts,raile,1.6201818969250759
dowts raile,punch,1.6201818969250759
pinch roate,bluds,1.584668687743612
bluds,roate,7.132524902555219
pinch bluds,roate,1.584668687743612
bluds roate,pinch,1.584668687743612
blocs tared,hying,1.650498051104374
hying,artel,7.746643568644435
blocs hying,rated,1.646167171935903
rated,coils,5.0069294066695536
hying rated,clops,1.588999566912083
clops,irate,5.605456907752274
hying clops,tared,1.5864010394110004
hying tared,clops,1.5864010394110004
hying artel,comps,1.7475097444781291
comps,raile,6.980944131658727
hying comps,taler,1.7171935902988307
hying taler,comps,1.7171935902988307
artel comps,dying,1.686011260285838
dying,reast,7.796015591165006
comps dying,taler,1.6323083585967952
dying taler,chops,1.6123863144218276
chops,raile,6.906453009961022
dying chops,ratel,1.5838025119099177
artel dying,chops,1.6513642269380684
dying ratel,chops,1.5838025119099177
dying reast,clomp,1.5439584235599826
clomp,irate,6.527067994802945
dying clomp,reast,1.5439584235599826
taler chops,dying,1.6123863144218276
chops ratel,dingy,1.5803378085751407
chops dingy,ratel,1.5803378085751407
dingy ratel,chops,1.5803378085751407
clomp irate,dunsh,1.6227804244261586
dunsh,artel,6.373754872239065
clomp dunsh,targe,1.5543525335643136
dunsh targe,clomp,1.5543525335643136
clomp targe,hinds,1.519705500216544
hinds,artel,6.246427024686011
clomp hinds,targe,1.519705500216544
hinds targe,clomp,1.519705500216544
comps raile,bundt,1.5249025552187094
bundt,soare,6.846686877436119
soare,clint,4.3668254655695105
clint,soare,4.3668254655695105
comps bundt,raile,1.5249025552187094
bundt raile,comps,1.5249025552187094
bundt soare,pilch,1.5456907752273712
bundt pilch,marse,1.544824599393677
marse,clint,4.982676483326115
bundt marse,pilch,1.544824599393677
marse pilch,donut,1.5136422693806844
donut,carle,5.304893893460372
pilch donut,sabre,1.4859246427024686
sabre,doilt,5.27977479428324
doilt,carse,4.281074058033781
carse,doilt,4.281074058033781
marse donut,pilch,1.5136422693806844
comps taler,duing,1.6271113035946296
duing,salet,7.548289302728453
sownd carle pight jumby,aahed,12966
comps duing,taler,1.6271113035946296
duing salet,porch,1.5915980944131658
duing porch,least,1.581203984408835
least,corni,4.899523603291468
donut sabre,pilch,1.4859246427024686
pilch sabre,donut,1.4859246427024686
poind salet,crumb,1.5171069727154611
slate poind,crumb,1.5300996102208748
clomp reast,dingy,1.5326981377219575
clomp dingy,reast,1.5326981377219575
dingy reast,clomp,1.5326981377219575
soare pilch,bundt,1.5456907752273712
solid targe,punch,1.5456907752273712
sloid targe,punch,1.5508878302295366
sonly trade,chimp,1.5517540060632309
sonly chimp,trade,1.5517540060632309
chimp trade,sonly,1.5517540060632309
sling tared,chomp,1.4677349501948895
sling chomp,tared,1.4677349501948895
chomp tared,sling,1.4677349501948895
raile stond,chump,1.570809874404504
linch reast,podgy,1.5803378085751407
duing least,porch,1.581203984408835
least porch,dingy,1.5682113469034213
least dingy,porch,1.5682113469034213
dunts raile,chomp,1.5829363360762234
armet sloid,punch,1.585534863577306
clops tared,bingy,1.5786054569077523
bingy,reast,8.284538761368557
clops bingy,tared,1.5786054569077523
bingy tared,clops,1.5786054569077523
sound ratel,chimb,1.588133391078389
rated clops,hying,1.588999566912083
derat sling,chomp,1.4919878735383283
derat chomp,sling,1.4919878735383283
chins ratel,podgy,1.5985275010827198
coils trade,nymph,1.6037245560848852
irate dunsh,clomp,1.6227804244261586
duing taler,comps,1.6271113035946296
artel sound,chimp,1.6262451277609355
artel chimp,dongs,1.5976613252490255
artel dongs,chimp,1.5976613252490255
sound chimp,taler,1.588999566912083
sound taler,chimp,1.588999566912083
antre solid,chump,1.635773061931572
blocs rated,hying,1.646167171935903
tared coils,nymph,1.646167171935903
clogs tared,pinky,1.6470333477695973
artel chops,dingy,1.635773061931572
artel dingy,chops,1.635773061931572
irate scold,nymph,1.6652230402771762
roate slung,chimp,1.6704200952793418
raile douts,nymph,1.7423126894759635
clapt siren,dumbo,1.4815937635339973
dumbo,salet,9.59852750108272
clapt dumbo,siren,1.4815937635339973
dumbo siren,clapt,1.4815937635339973
carle stond,gimpy,1.5153746210480727
gimpy,roate,9.310957124296232
carle gimpy,stond,1.5153746210480727
gimpy stond,carle,1.5153746210480727
point carle,dumbs,1.4893893460372456
dumbs,roate,9.213079255088783
carle dumbs,point,1.4893893460372456
dumbs point,carle,1.4893893460372456
cloth siren,dampy,1.5387613685578172
dampy,trone,8.423126894759637
trone,salic,4.462970983109571
salic,trone,4.462970983109571
cloth dampy,rinse,1.5214378518839324
rinse,ploat,5.053702901689043
ploat,siren,4.983542659159809
cloth rinse,dampy,1.5214378518839324
dampy rinse,cloth,1.5214378518839324
siren dampy,cloth,1.5387613685578172
arles point,duchy,1.7284538761368557
duchy,raise,8.655262018189692
arles duchy,point,1.7284538761368557
duchy point,sable,1.6808142052836725
sable,tronc,5.306626245127761
tronc,aisle,4.849285404937202
aisle,tronc,4.849285404937202
duchy sable,print,1.5638804677349503
print,haole,5.105673451710698
haole,snirt,4.798181030749242
snirt,haole,4.798181030749242
duchy print,sable,1.5638804677349503
print sable,comfy,1.5422260718925942
comfy,raise,8.760069294066696
print comfy,slade,1.5352966652230402
slade,tronc,4.850151580770897
comfy slade,print,1.5352966652230402
print slade,comby,1.4625378951927241
comby,raise,8.513209181463838
print comby,slade,1.4625378951927241
comby slade,print,1.4625378951927241
sable comfy,print,1.5422260718925942
point sable,curdy,1.519705500216544
curdy,salet,6.682979644867908
point curdy,sable,1.519705500216544
curdy sable,point,1.519705500216544
raise cloth,dungy,1.638371589432655
dungy,slate,8.683845820701602
cloth dungy,spaer,1.5656128194023387
spaer,doilt,5.022520571676051
cloth spaer,dingy,1.516240796881767
cloth dingy,spaer,1.516240796881767
dingy spaer,cloth,1.516240796881767
dungy spaer,cloth,1.5656128194023387
raise dungy,cloth,1.638371589432655
carse doilt,nymph,1.5188393243828497
carse nymph,doilt,1.5188393243828497
doilt nymph,carse,1.5188393243828497
clint soare,dumpy,1.5820701602425293
dumpy,roate,10.218709398007796
clint dumpy,sabre,1.5578172368990906
clint sabre,podgy,1.5067128627111304
clint podgy,marse,1.4824599393676916
clint marse,podgy,1.4824599393676916
marse podgy,clint,1.4824599393676916
sabre podgy,clint,1.5067128627111304
dumpy sabre,clint,1.5578172368990906
soare dumpy,clint,1.5820701602425293
salic trone,dumpy,1.6011260285838025
salic dumpy,trone,1.6011260285838025
dumpy trone,clash,1.588999566912083
clash,trone,5.567345171069727
dumpy clash,trine,1.574274577739281
trine,coals,4.433521004763967
coals,trine,4.433521004763967
clash trine,podgy,1.5422260718925942
clash podgy,trine,1.5422260718925942
podgy trine,clash,1.5422260718925942
dumpy trine,clash,1.574274577739281
trone clash,midgy,1.5829363360762234
midgy,reast,8.831095712429624
clash midgy,trone,1.5829363360762234
midgy trone,clasp,1.5370290168904288
clasp,toner,5.2104807275877
toner,scail,4.663057600692941
scail,trone,4.566045907319186
midgy clasp,tenor,1.5231702035513208
tenor,scail,4.715894326548289
clasp tenor,midgy,1.5231702035513208
midgy tenor,clasp,1.5231702035513208
trone clasp,midgy,1.5370290168904288
coals trine,dumpy,1.6123863144218276
coals dumpy,trine,1.6123863144218276
carte noils,dumpy,1.6184495452576872
carte dumpy,sling,1.6097877869207449
carte sling,dumpy,1.6097877869207449
dumpy sling,carte,1.6097877869207449
noils dumpy,carte,1.6184495452576872
trace noils,dumpy,1.6409701169337376
trace dumpy,sling,1.6141186660892162
trace sling,dumpy,1.6141186660892162
scail trone,dumpy,1.631442182763101
scail dumpy,trone,1.631442182763101
sloid carte,nymph,1.5682113469034213
carte nymph,sloid,1.5682113469034213
nymph sloid,carte,1.5682113469034213
solid carte,nymph,1.5803378085751407
solid nymph,carte,1.5803378085751407
corni slate,dumpy,1.653962754439151
corni dumpy,slate,1.653962754439151
dumpy slate,bronc,1.5915980944131658
bronc,salet,5.509311390212213
dumpy bronc,slate,1.5915980944131658
bronc slate,dumpy,1.5915980944131658
toner scail,bumph,1.6548289302728454
bumph,raile,10.679514941533132
scail bumph,trone,1.6375054135989606
bumph trone,dalis,1.6080554352533565
dalis,trone,4.870939800779558
bumph dalis,trone,1.6080554352533565
dalis trone,chump,1.5734084019055867
dalis chump,trone,1.5734084019055867
chump trone,dalis,1.5734084019055867
toner bumph,scald,1.585534863577306
scald,tenor,4.807708964919879
bumph scald,tenor,1.581203984408835
bumph tenor,scald,1.581203984408835
scald tenor,guimp,1.5266349068860978
guimp,taler,9.090948462537895
scald guimp,tenor,1.5266349068860978
guimp tenor,scald,1.5266349068860978
toner scald,guimp,1.537895192724123
toner guimp,scald,1.537895192724123
orcin slate,dumpy,1.6652230402771762
orcin dumpy,salet,1.6652230402771762
dumpy salet,bronc,1.5950627977479428
salet bronc,dumpy,1.5950627977479428
orcin salet,dumpy,1.6652230402771762
cital snore,bumph,1.6340407102641836
cital bumph,snore,1.6340407102641836
bumph snore,tidal,1.62104807275877
tidal,corse,4.901255954958857
corse,daint,4.7895192724123
daint,sorel,4.75487223906453
sorel,diact,4.516673884798614
diact,sorel,4.516673884798614
bumph tidal,snore,1.62104807275877
snore tidal,chump,1.577739281074058
snore chump,dital,1.5638804677349503
dital,corse,4.874404504114335
chump dital,snore,1.5638804677349503
dital snore,chump,1.5638804677349503
tidal chump,snore,1.577739281074058
diact sorel,nymph,1.5621481160675617
diact nymph,sorel,1.5621481160675617
nymph sorel,diact,1.5621481160675617
tenor scail,dumpy,1.6453009961022087
tenor dumpy,clash,1.6184495452576872
tenor clash,midgy,1.5872672152446947
colin stare,dumpy,1.6886097877869208
colin dumpy,strae,1.660892161108705
strae,colin,4.811173668254655
colin strae,dumpy,1.660892161108705
dumpy strae,colin,1.660892161108705
stare dumpy,colin,1.6886097877869208
daint sorel,chump,1.5734084019055867
daint chump,soler,1.5621481160675617
soler,diact,4.521870939800779
chump soler,daint,1.5621481160675617
daint soler,chump,1.5621481160675617
sorel chump,daint,1.5734084019055867
soler diact,nymph,1.5647466435686443
soler nymph,diact,1.5647466435686443
reast colin,pudgy,1.6600259852750108
pudgy,roate,9.951927241229969
colin pudgy,reast,1.6600259852750108
pudgy reast,clown,1.6591598094413167
clown,irate,6.254222607189259
pudgy clown,reast,1.6591598094413167
clown reast,midgy,1.631442182763101
clown midgy,reast,1.631442182763101
midgy reast,clown,1.631442182763101
corse daint,plumb,1.4582070160242528
plumb,roate,8.893460372455609
corse plumb,daint,1.4582070160242528
daint plumb,corse,1.4582070160242528
haole snirt,pudgy,1.6920744911216976
haole pudgy,snirt,1.6920744911216976
pudgy snirt,cable,1.62104807275877
cable,roist,4.972282373321784
roist,lance,4.372022520571676
lance,roist,4.372022520571676
pudgy cable,snort,1.595928973581637
snort,maile,4.749675184062364
maile,snort,4.749675184062364
cable snort,gimpy,1.5716760502381983
cable gimpy,snort,1.5716760502381983
gimpy snort,clade,1.563014291901256
clade,roist,4.56691208315288
gimpy clade,snort,1.563014291901256
clade snort,gimpy,1.563014291901256
pudgy snort,cable,1.595928973581637
snirt cable,podgy,1.5110437418796017
cable podgy,snirt,1.5110437418796017
podgy snirt,cable,1.5110437418796017
lance roist,dumpy,1.5578172368990906
lance dumpy,roist,1.5578172368990906
dumpy roist,lance,1.5578172368990906
clade roist,nymph,1.5673451710697273
clade nymph,roist,1.5673451710697273
nymph roist,clade,1.5673451710697273
maile snort,duchy,1.6721524469467302
maile duchy,snort,1.6721524469467302
duchy snort,pagle,1.639237765266349
pagle,roist,5.4885231702035515
duchy pagle,snort,1.639237765266349
pagle snort,chimb,1.552620181896925
pagle chimb,snort,1.552620181896925
chimb snort,padle,1.4625378951927241
padle,roist,4.902988306626245
chimb padle,snort,1.4625378951927241
padle snort,chimb,1.4625378951927241
clons irate,dumpy,1.6799480294499785
clons dumpy,targe,1.6141186660892162
clons targe,dumpy,1.6141186660892162
dumpy targe,clons,1.6141186660892162
irate dumpy,clons,1.6799480294499785
coins taler,bumph,1.6816803811173668
coins bumph,taler,1.6816803811173668
bumph taler,coins,1.6816803811173668
cions taler,dumpy,1.6764833261152015
cions dumpy,taler,1.6764833261152015
dumpy taler,cions,1.6764833261152015
coirs leant,dumpy,1.6972715461238632
coirs dumpy,leant,1.6972715461238632
dumpy leant,crogs,1.6444348202685146
crogs,leant,5.760502381983542
dumpy crogs,leant,1.6444348202685146
crogs leant,dumpy,1.6444348202685146
sonic taler,dumpy,1.6903421394543092
sonic dumpy,taler,1.6903421394543092
aisle tronc,dumpy,1.664356864443482
aisle dumpy,tronc,1.664356864443482
dumpy tronc,sable,1.5690775227371156
dumpy sable,tronc,1.5690775227371156
sable tronc,dumpy,1.5690775227371156
senor cital,dumpy,1.6470333477695973
cital dumpy,snore,1.639237765266349
dumpy snore,cital,1.639237765266349
senor dumpy,cital,1.6470333477695973
slade tronc,gimpy,1.552620181896925
slade gimpy,tronc,1.552620181896925
gimpy tronc,slade,1.552620181896925
ratel cions,bumph,1.6782156777825898
cions bumph,ratel,1.6782156777825898
bumph ratel,cions,1.6782156777825898
dital corse,nymph,1.6071892594196622
corse nymph,tidal,1.6011260285838025
corse tidal,nymph,1.6011260285838025
nymph tidal,corse,1.6011260285838025
dital nymph,corse,1.6071892594196622
antre coils,bumph,1.6972715461238632
antre bumph,scold,1.692940666955392
antre scold,guimp,1.6340407102641836
antre guimp,scold,1.6340407102641836
guimp scold,earnt,1.6193157210913816
earnt,coils,5.080554352533564
guimp earnt,scold,1.6193157210913816
earnt scold,gimpy,1.6149848419229103
earnt gimpy,scold,1.6149848419229103
gimpy scold,rathe,1.6106539627544392
rathe,noils,5.174967518406237
gimpy rathe,scold,1.6106539627544392
rathe scold,mingy,1.585534863577306
mingy,reast,8.010827197921177
rathe mingy,scold,1.585534863577306
mingy scold,trape,1.566478995236033
mingy trape,scold,1.566478995236033
scold trape,mingy,1.566478995236033
bumph scold,antre,1.692940666955392
coils bumph,trade,1.6704200952793418
bumph trade,clons,1.6331745344304893
bumph clons,tared,1.6063230835859679
bumph tared,clons,1.6063230835859679
clons tared,guimp,1.5638804677349503
clons guimp,tared,1.5638804677349503
guimp tared,clons,1.5638804677349503
trade clons,gimpy,1.570809874404504
clons gimpy,trade,1.570809874404504
gimpy trade,clons,1.570809874404504
trape noils,duchy,1.6851450844521438
noils duchy,trape,1.6851450844521438
duchy trape,sling,1.6453009961022087
duchy sling,trape,1.6453009961022087
sling trape,comby,1.5734084019055867
sling comby,trape,1.5734084019055867
comby trape,sling,1.5734084019055867
least corni,pudgy,1.6600259852750108
corni pudgy,least,1.6600259852750108
least pudgy,corni,1.6600259852750108
claut siren,podgy,1.5933304460805544
claut podgy,siren,1.5933304460805544
podgy siren,claut,1.5933304460805544
padle roist,bunch,1.4997834560415764
bunch,raile,8.194456474664356
padle bunch,roist,1.4997834560415764
bunch roist,padle,1.4997834560415764
reals point,duchy,1.7353832828064097
reals duchy,point,1.7353832828064097
sonly trace,guimp,1.6799480294499785
sonly guimp,carte,1.6790818536162841
guimp carte,holds,1.6626245127760935
holds,irate,5.862711130359463
carte holds,guimp,1.6626245127760935
guimp holds,caret,1.6513642269380684
caret,sloid,4.644001732351668
guimp caret,dhols,1.6409701169337376
dhols,raine,5.880900822867042
raine,colts,4.551320918146383
colts,raine,4.551320918146383
caret dhols,bingy,1.595928973581637
caret bingy,plods,1.5638804677349503
plods,carte,5.750108271979212
bingy plods,caret,1.5638804677349503
caret plods,bingy,1.5638804677349503
dhols bingy,caret,1.595928973581637
guimp dhols,caret,1.6409701169337376
holds caret,bingy,1.6366392377652663
holds bingy,caret,1.6366392377652663
sonly carte,humid,1.6660892161108705
humid,artel,8.455175400606324
carte humid,splog,1.6600259852750108
splog,trace,6.057600692940667
carte splog,unbid,1.6115201385881335
unbid,salet,8.15634473798181
carte unbid,splog,1.6115201385881335
splog unbid,caret,1.6115201385881335
splog caret,unbid,1.6115201385881335
caret unbid,slopy,1.6037245560848852
slopy,irate,5.932871372888696
caret slopy,unbid,1.6037245560848852
slopy unbid,caret,1.6037245560848852
humid splog,carte,1.6600259852750108
sonly humid,carte,1.6660892161108705
trace guimp,holds,1.6712862711130358
trace holds,bingy,1.6513642269380684
trace bingy,plods,1.6106539627544392
trace plods,mingy,1.5898657427457774
plods mingy,trace,1.5898657427457774
mingy trace,plods,1.5898657427457774
colts raine,dumpy,1.6193157210913816
colts dumpy,raine,1.6193157210913816
dumpy raine,clots,1.6089216110870506
clots,raine,4.558250324815938
dumpy clots,raine,1.6089216110870506
clots raine,dumpy,1.6089216110870506
caret sloid,nymph,1.581203984408835
caret nymph,sloid,1.581203984408835
artel sonic,pudgy,1.7267215244694674
artel pudgy,chons,1.689475963620615
chons,raile,5.811606756171503
artel chons,pudgy,1.689475963620615
chons pudgy,ratel,1.6782156777825898
chons ratel,midgy,1.6513642269380684
chons midgy,ratel,1.6513642269380684
midgy ratel,chons,1.6513642269380684
pudgy ratel,chons,1.6782156777825898
sonic pudgy,taler,1.7093980077955826
pudgy taler,chons,1.6877436119532265
taler chons,midgy,1.6747509744478128
taler midgy,chons,1.6747509744478128
cable roist,dumpy,1.6011260285838025
cable dumpy,snirt,1.5760069294066696
dumpy snirt,cable,1.5760069294066696
ploat siren,duchy,1.6253789519272412
ploat duchy,siren,1.6253789519272412
duchy siren,ploat,1.6253789519272412
tonic reals,pudgy,1.72932005197055
reals pudgy,notch,1.7059333044608056
notch,raile,5.396708531831962
pudgy notch,raile,1.6972715461238632
notch raile,dumps,1.56994369857081
dumps,roate,8.490688609787787
notch dumps,raile,1.56994369857081
dumps raile,notch,1.56994369857081
pudgy raile,coths,1.6938068427890862
coths,raile,5.423559982676483
pudgy coths,raile,1.6938068427890862
coths raile,dungy,1.6556951061065397
coths dungy,parle,1.6366392377652663
parle,coits,5.032048505846687
coits,learn,4.889129493287137
learn,coits,4.889129493287137
coths parle,dingy,1.5422260718925942
coths dingy,parle,1.5422260718925942
dingy parle,coths,1.5422260718925942
dungy parle,sicht,1.6219142485924642
sicht,arled,6.052403637938501
arled,coits,5.139454309224773
